Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Product available,Firefox 59.0,,2018-05-10 16:22:26,2018-05-10 16:22:41,14.904s,FAILED
,,,,,,
Test Cases/Product available,Firefox 59.0,,2018-05-10 16:22:27,2018-05-10 16:22:41,14.165s,FAILED
openBrowser,Firefox 59.0,,2018-05-10 16:22:27,2018-05-10 16:22:31,4.069s,PASSED
navigateToUrl,Firefox 59.0,,2018-05-10 16:22:31,2018-05-10 16:22:38,7.270s,PASSED
setText,Firefox 59.0,,2018-05-10 16:22:38,2018-05-10 16:22:38,0.228s,PASSED
setText,Firefox 59.0,,2018-05-10 16:22:38,2018-05-10 16:22:39,0.106s,PASSED
click,Firefox 59.0,,2018-05-10 16:22:39,2018-05-10 16:22:39,0.309s,PASSED
click,Firefox 59.0,,2018-05-10 16:22:39,2018-05-10 16:22:40,1.240s,PASSED
click,Firefox 59.0,,2018-05-10 16:22:40,2018-05-10 16:22:40,0.230s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 16:22:40,2018-05-10 16:22:41,0.305s,FAILED
